iter	Passed	Remaining
0	2	2159
1	9	4711
2	11	3936
3	13	3389
4	16	3227
5	17	2951
6	20	2848
7	22	2737
8	23	2629
9	25	2563
10	27	2507
11	29	2443
12	31	2361
13	32	2312
14	34	2268
15	36	2220
16	37	2169
17	39	2134
18	41	2147
19	43	2128
20	44	2096
21	46	2075
22	48	2054
23	50	2034
24	51	2004
25	52	1975
26	53	1944
27	55	1936
28	57	1921
29	58	1899
30	60	1881
31	61	1857
32	62	1843
33	64	1838
34	66	1831
35	67	1818
36	69	1804
37	72	1829
38	73	1816
39	76	1824
40	78	1844
41	80	1840
42	82	1830
43	83	1819
44	85	1807
45	87	1806
46	88	1796
47	90	1787
48	91	1778
49	93	1776
50	96	1787
51	97	1784
52	99	1778
53	101	1778
54	102	1769
55	104	1759
56	105	1750
57	107	1740
58	109	1743
59	111	1741
60	112	1733
61	114	1725
62	115	1717
63	117	1711
64	118	1705
65	119	1697
66	121	1689
67	122	1683
68	125	1687
69	126	1681
70	128	1682
71	130	1676
72	131	1674
73	133	1670
74	134	1663
75	136	1656
76	137	1650
77	140	1661
78	142	1655
79	143	1650
80	144	1643
81	146	1643
82	147	1633
83	149	1627
84	150	1622
85	152	1618
86	154	1625
87	156	1621
88	157	1617
89	159	1611
90	161	1614
91	163	1614
92	165	1611
93	166	1605
94	168	1600
95	169	1598
96	171	1593
97	172	1588
98	174	1584
99	175	1578
100	177	1576
101	178	1572
102	180	1568
103	182	1570
104	183	1567
105	185	1563
106	186	1558
107	188	1556
108	189	1552
109	191	1549
110	192	1545
111	194	1541
112	195	1537
113	197	1533
114	198	1529
115	200	1524
116	201	1517
117	202	1513
118	203	1509
119	205	1504
120	206	1501
121	207	1495
122	209	1493
123	210	1490
124	212	1485
125	213	1482
126	214	1476
127	216	1472
128	217	1469
129	218	1465
130	220	1461
131	221	1458
132	223	1455
133	224	1451
134	226	1448
135	227	1445
136	229	1444
137	230	1441
138	232	1438
139	233	1435
140	235	1432
141	236	1426
142	237	1424
143	238	1420
144	240	1417
145	241	1413
146	243	1410
147	244	1408
148	246	1406
149	247	1403
150	248	1399
151	250	1398
152	252	1396
153	253	1393
154	255	1391
155	256	1389
156	258	1386
157	259	1383
158	261	1380
159	262	1378
160	263	1372
161	266	1378
162	267	1375
163	269	1373
164	270	1370
165	272	1367
166	273	1365
167	275	1362
168	276	1358
169	277	1355
170	278	1352
171	280	1350
172	282	1349
173	283	1346
174	284	1343
175	286	1339
176	288	1339
177	289	1338
178	291	1335
179	292	1333
180	294	1331
181	295	1329
182	297	1328
183	298	1325
184	300	1322
185	301	1319
186	303	1317
187	304	1315
188	306	1313
189	308	1314
190	312	1325
191	314	1323
192	316	1322
193	317	1319
194	319	1317
195	320	1315
196	322	1312
197	323	1309
198	324	1307
199	327	1309
200	328	1306
201	330	1307
202	333	1308
203	334	1306
204	337	1306
205	338	1304
206	340	1302
207	341	1300
208	343	1298
209	344	1295
210	346	1294
211	347	1291
212	349	1290
213	350	1287
214	352	1285
215	353	1284
216	355	1283
217	357	1280
218	358	1278
219	359	1275
220	360	1272
221	362	1269
222	364	1269
223	365	1267
224	367	1265
225	368	1263
226	370	1261
227	371	1259
228	373	1257
229	374	1254
230	376	1252
231	377	1250
232	379	1248
233	380	1246
234	382	1244
235	383	1241
236	385	1239
237	386	1238
238	388	1235
239	389	1233
240	390	1230
241	392	1228
242	393	1226
243	395	1224
244	396	1221
245	397	1219
246	399	1217
247	400	1215
248	402	1212
249	403	1210
